ENERDATA,SBS,EF,IEA,flow,Navigate
NA,AG,ETH,BIOGASOL,AGRICULT,
NA,AG,BGDO,BIODIESEL,AGRICULT,
NA,AG,H2F,NA,,
Electricity final consumption of agriculture.Mtoe,AG,ELC,ELECTR,AGRICULT,Final Energy|Agriculture|Electricity
NA,AG,PHEVGSL,NA,,
NA,AG,PHEVGDO,NA,,
NA,AG,CHEVGSL,NA,,
NA,AG,CHEVGDO,NA,,
NA,AG,SLD,NA,,
NA,AG,GAS,NA,,
NA,AG,LQD,NA,,
NA,AG,OLQT,NA,,
NA,AG,NFF,NA,,
NA,AG,NEF,NA,,
NA,AG,HEATPUMP,NA,,
NA,HOU,REN,NA,,
NA,HOU,LGN,LIGNITE,RESIDENT,
Oil final consumption of residential sector.Mtoe,HOU,GDO,NONBIODIES,RESIDENT,
NA,HOU,CRO,NA,,Final Energy|Residential|Liquids|Fossil
NA,HOU,GSL,NONBIOGASO,RESIDENT,Final Energy|Residential|Liquids
NA,HOU,KRS,NA,,
NA,HOU,RFO,NA,,
NA,HOU,OLQ,NA,,
NA,HOU,OGS,NA,,
NA,HOU,NUC,NA,,
NA,HOU,STE,NA,,Final Energy|Residential|Heat
NA,HOU,HYD,NA,,Final Energy|Residential|Hydrogen
NA,HOU,WND,NA,,
NA,HOU,SOL,SOLARTH,RESIDENT,
NA,HOU,GEO,GEOTHERM,RESIDENT,
NA,HOU,MET,NA,,
NA,HOU,ETH,BIOGASOL,RESIDENT,
NA,HOU,BGDO,BIODIESEL,RESIDENT,
NA,HOU,H2F,NA,,
Natural gas final consumption of residential sector.Mtoe,HOU,NGS,NATGAS,RESIDENT,Final Energy|Residential|Gases|Fossil
Coal and lignite final consumption of residential sector.Mtoe,HOU,HCL,BITCOAL,RESIDENT,Final Energy|Residential|Solids|Fossil
LPG (liquified petroleum gas) final consumption of residential sector.Mtoe,HOU,LPG,LPG,RESIDENT,
NA,HOU,PHEVGSL,NA,,
NA,HOU,PHEVGDO,NA,,
NA,HOU,CHEVGSL,NA,,
NA,HOU,CHEVGDO,NA,,
Electricity final consumption of residential sector.Mtoe,HOU,ELC,ELECTR,RESIDENT,Final Energy|Residential|Electricity
Biomass final consumption of residential sector.Mtoe,HOU,BMSWAS,NA,NA,Final Energy|Residential|Solids|Biomass
NA,HOU,SLD,NA,,Final Energy|Residential|Solids
NA,HOU,GAS,NA,,Final Energy|Residential|Gases
NA,HOU,LQD,NA,,
NA,HOU,OLQT,NA,,
NA,HOU,NFF,NA,,
NA,HOU,NEF,NA,,
NA,HOU,HEATPUMP,NA,,
Motor gasoline final consumption of road transport (excl bioethanol).Mtoe,PC,GSL,NONBIOGASO,TOTTRANS,Final Energy|Transportation|Passenger|Liquids
Biodiesel consumption of road transport.Mtoe,PC,BGDO,BIODIESEL,TOTTRANS,
NA,PC,REN,NA,,
NA,PC,HCL,NA,TOTTRANS,
NA,PC,LGN,NA,,
NA,PC,CRO,NA,,
NA,PC,KRS,NA,,
Diesel final consumption of road transport (excl biodiesel).Mtoe,PC,GDO,NA,,
NA,PC,RFO,NA,,
NA,PC,OLQ,NA,,
NA,PC,OGS,NA,,
NA,PC,NUC,NA,,
NA,PC,STE,NA,,
NA,PC,HYD,NA,,Final Energy|Transportation|Passenger|Hydrogen
NA,PC,WND,NA,,
NA,PC,SOL,NA,,
NA,PC,BMSWAS,NA,,
NA,PC,GEO,NA,,
NA,PC,MET,NA,,
NA,PC,H2F,NA,,
Electricity final consumption of road transport.Mtoe,PC,ELC,NA,NA,Final Energy|Transportation|Passenger|Electricity
LPG (liquified petroleum gas) final consumption of road transport.Mtoe,PC,LPG,LPG,TOTTRANS,
Natural gas final consumption of transport.Mtoe,PC,NGS,NATGAS,TOTTRANS,Final Energy|Transportation|Passenger|Gases
Bioethanol consumption of road transport.Mtoe,PC,ETH,BIOGASOL,TOTTRANS,
NA,PC,PHEVGSL,NA,,
NA,PC,PHEVGDO,NA,,
NA,PC,CHEVGSL,NA,,
NA,PC,CHEVGDO,NA,,
NA,PC,SLD,NA,,
NA,PC,GAS,NA,,
NA,PC,LQD,NA,,
NA,PC,OLQT,NA,,
NA,PC,NFF,NA,,
NA,PC,NEF,NA,,
NA,PC,HEATPUMP,NA,,
Motor gasoline final consumption of road transport (excl bioethanol).Mtoe,PB,GSL,NONBIOGASO,TOTTRANS,Final Energy|Transportation|Passenger|Liquids
Biodiesel consumption of road transport.Mtoe,PB,BGDO,BIODIESEL,TOTTRANS,
NA,PB,REN,NA,,
NA,PB,HCL,NA,TOTTRANS,
NA,PB,LGN,NA,,
NA,PB,CRO,NA,,
NA,PB,KRS,NA,,
Diesel final consumption of road transport (excl biodiesel).Mtoe,PB,GDO,NA,,
NA,PB,RFO,NA,,
NA,PB,OLQ,NA,,
NA,PB,OGS,NA,,
NA,PB,NUC,NA,,
NA,PB,STE,NA,,
NA,PB,HYD,NA,,Final Energy|Transportation|Passenger|Hydrogen
NA,PB,WND,NA,,
NA,PB,SOL,NA,,
NA,PB,BMSWAS,NA,,
NA,PB,GEO,NA,,
NA,PB,MET,NA,,
NA,PB,H2F,NA,,
Electricity final consumption of road transport.Mtoe,PB,ELC,NA,NA,Final Energy|Transportation|Passenger|Electricity
LPG (liquified petroleum gas) final consumption of road transport.Mtoe,PB,LPG,LPG,TOTTRANS,
Natural gas final consumption of transport.Mtoe,PB,NGS,NATGAS,TOTTRANS,Final Energy|Transportation|Passenger|Gases
Bioethanol consumption of road transport.Mtoe,PB,ETH,BIOGASOL,TOTTRANS,
NA,PB,PHEVGSL,NA,,
NA,PB,PHEVGDO,NA,,
NA,PB,CHEVGSL,NA,,
